M?,Tàn,Tàn Ti?ng Anh,C?p,Ngh? ??nh,Ghi ch£,M? TP,T?nh / ThÖnh Ph?
00190,Ph??ng ? Ch? D?a,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t 1 ph?n ph??ng C†t Linh, 1 ph?n ph??ng ?i?n Biàn, 1 ph?n ph??ng HÖng B?t, 1 ph?n ph??ng ? Ch? D?a, 1 ph?n ph??ng ThÖnh Cìng, 1 ph?n ph??ng Trung Li?t, 1 ph?n ph??ng V?n Mi?u - Qu?c T? Gi†m. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00199,Ph??ng L†ng,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? ph??ng L†ng H? thÖnh ph??ng L†ng, h?p nh?t ph??ng L†ng Th??ng, 1 ph?n ph??ng L†ng H?, 1 ph?n ph??ng Ng?c Kh†nh. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00226,Ph??ng V?n Mi?u - Qu?c T? Gi†m,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? ph??ng Ph??ng Liàn - Trung T? thÖnh ph??ng V?n Mi?u - Qu?c T? Gi†m, h?p nh?t ph??ng KhÉm Thiàn, ph??ng Th? Quan, ph??ng V?n Ch??ng, 1 ph?n ph??ng ?i?n Biàn, 1 ph?n ph??ng HÖng B?t, 1 ph?n V?n Mi?u - Qu?c T? Gi†m, 1 ph?n ph??ng C?a Nam, 1 ph?n p. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00229,Ph??ng Kim Liàn,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t ph??ng Kim Liàn, ph??ng Kh??ng Th??ng, 1 ph?n ph??ng Nam ??ng, 1 ph?n ph??ng Ph??ng Liàn - Trung T?, 1 ph?n ph??ng Trung Li?t, 1 ph?n ph??ng Ph??ng Mai, 1 ph?n ph??ng Quang Trung. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00235,Ph??ng ??ng ?a,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? ph??ng Th?nh Quang thÖnh ph??ng ??ng ?a, h?p nh?t ph??ng Th?nh Quang, 1 ph?n ph??ng Quang Trung, 1 ph?n ph??ng L†ng H?, 1 ph?n ph??ng Nam ??ng, 1 ph?n ph??ng ? Ch? D?a, 1 ph?n ph??ng Trung Li?t. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00256,Ph??ng Hai BÖ Tr?ng,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? ph??ng Là ??i HÖnh thÖnh ph??ng Hai BÖ Tr?ng, h?p nh?t ph??ng ??ng NhÉn, ph??ng Ph? Hu?, 1 ph?n ph??ng B?ch ??ng, 1 ph?n ph??ng Là ??i HÖnh, 1 ph?n ph??ng Nguy?n Du, 1 ph?n ph??ng Thanh NhÖn, 1 ph?n ph??ng Ph?m ?çnh H?. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00283,Ph??ng V?nh Tuy,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t 1 ph?n ph??ng Mai ??ng, 1 ph?n ph??ng Thanh L??ng, 1 ph?n ph??ng V?nh H?ng, 1 ph?n ph??ng V?nh Tuy. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00292,Ph??ng B?ch Mai,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t ph??ng B?ch Mai, ph??ng B†ch Khoa, ph??ng Qu?nh Mai, 1 ph?n ph??ng Minh Khai, 1 ph?n ph??ng ??ng TÉm, 1 ph?n ph??ng Là ??i HÖnh, 1 ph?n ph??ng Ph??ng Mai, 1 ph?n ph??ng Tr??ng ??nh, 1 ph?n ph??ng Thanh NhÖn. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00301,Ph??ng V?nh H?ng,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? ph??ng Thanh Trç thÖnh ph??ng V?nh H?ng, h?p nh?t 1 ph?n ph??ng V?nh H?ng, 1 ph?n ph??ng L?nh Nam, 1 ph?n ph??ng Thanh Trç, 1 ph??ng V?nh Tuy. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00316,Ph??ng ??nh Cìng,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn ph??ng ??i Kim thÖnh ph??ng ??nh Cìng, h?p nh?t 1 ph?n ph??ng ??i Kim, 1 ph?n ph??ng ??nh Cìng, 1 ph?n ph??ng HoÖng Li?t, 1 ph?n ph??ng Th?nh Li?t, 1 ph?n ph??ng x? TÉn Tri?u, 1 ph?n ph??ng x? Thanh Li?t, 1 ph?n ph??ng Gi†p B†t . B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00322,Ph??ng T??ng Mai,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? ph??ng HoÖng V?n Th? thÖnh ph??ng T??ng Mai, h?p nh?t 1 ph?n ph??ng Gi†p B†t, 1 ph?n ph??ng Ph??ng Li?t, 1 ph?n ph??ng Mai ??ng, 1 ph?n ph??ng Minh Khai, 1 ph?n ph??ng ??ng TÉm, 1 ph?n ph??ng Tr??ng ??nh, 1 ph?n ph??ng HoÖng V?n Th?, 1 ph?n ph?. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00328,Ph??ng L?nh Nam,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t 1 ph?n ph??ng L?nh Nam, 1 ph?n ph??ng Thanh Trç, 1 ph?n ph??ng Tr?n Ph£, 1 ph?n ph??ng Yàn S?, 1 ph?n ph??ng Thanh L??ng. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00331,Ph??ng HoÖng Mai,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? ph??ng Th?nh Li?t thÖnh ph??ng HoÖng Mai, h?p nh?t 1 ph?n ph??ng Gi†p B†t, 1 ph?n ph??ng HoÖng Li?t, 1 ph?n ph??ng HoÖng V?n Th?, 1 ph?n ph??ng L?nh Nam, 1 ph?n ph??ng TÉn Mai, 1 ph?n ph??ng Th?nh Li?t, 1 ph?n ph??ng T??ng Mai, 1 ph?n ph??ng Tr. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00337,Ph??ng HoÖng Li?t,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t 1 ph?n ph??ng ??i Kim, 1 ph?n ph??ng HoÖng Li?t, 1 ph?n th? tr?n V?n ?i?n, 1 ph?n x? Thanh Li?t, 1 ph?n x? Tam Hi?p. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00340,Ph??ng Yàn S?,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t 1 ph?n ph??ng Th?nh Li?t, 1 ph?n ph??ng Yàn S?,1 ph?n x? T? Hi?p, 1 ph?n ph??ng HoÖng Li?t vÖ 1 ph?n ph??ng Tr?n Ph£ . B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00352,Ph??ng Ph??ng Li?t,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? ph??ng Kh??ng Mai thÖnh ph??ng Ph??ng Li?t, h?p nh?t ph??ng Kh??ng Mai, 1 ph?n ph??ng Th?nh Li?t, 1 ph?n ph??ng Ph??ng Li?t, 1 ph?n ph??ng ??nh Cìng, 1 ph?n ph??ng Kh??ng ?çnh, 1 ph?n ph??ng Kh??ng Trung . B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00364,Ph??ng Kh??ng ?çnh,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t 1 ph?n ph??ng ??i Kim, 1 ph?n ph??ng H? ?çnh, 1 ph?n ph??ng Kh??ng ?çnh, 1 ph?n ph??ng Kh??ng Trung, 1 ph?n x? TÉn Tri?u, 1 ph?n ph??ng Thanh XuÉn Trung, 1 ph?n ph??ng Th??ng ?çnh . B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00367,Ph??ng Thanh XuÉn,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? ph??ng Thanh XuÉn B?c thÖnh ph??ng Thanh XuÉn, h?p nh?t 1 ph?n ph??ng NhÉn Ch°nh, 1 ph?n ph??ng Thanh XuÉn B?c, 1 ph?n ph??ng Thanh XuÉn Trung, 1 ph?n ph??ng Th??ng ?çnh, 1 ph?n ph??ng Trung HoÖ, 1 ph?n ph??ng Trung V?n. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00376,X? S¢c S?n,,X?,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i lo?i hçnh, h?p nh?t th? tr?n S¢c S?n, x? TÉn Minh thu?c huy?n S¢c S?n (tr??c khi th?c hi?n s?p x?p), c†c x? ?ìng XuÉn, Phó L?, Phó Linh, Tiàn D??c, 1 ph?n x? Mai ?çnh, 1 ph?n x? Ph£ Minh, 1 ph?n x? Quang Ti?n. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00382,X? Kim Anh,,X?,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? x? Minh Tr° thÖnh x? Kim Anh, h?p nh?t x? TÉn DÉn (huy?n S¢c S?n), x? Minh Ph£ vÖ x? Minh Tr°. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00385,Xa? Trung Gi? ,,X?,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? x? H?ng K? thÖnh x? Trung Gi?, h?p nh?t x? B?c S?n, x? H?ng K?, x? Nam S?n, x? Trung Gi?. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00430,X? ?a Ph£c,,X?,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? x? ??c Hïa thÖnh x? ?a Ph£c, h?p nh?t c†c xa? B?c Ph£, ??c HoÖ, Kim L?, TÉn H?ng, Vi?t Long, XuÉn Giang vÖ XuÉn Thu. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00433,X? N?i BÖi,,X?,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn x? Thanh XuÉn thÖnh x? N?i BÖi, h?p nh?t x? Ph£ C??ng thu?c huy?n S¢c S?n (tr??c khi th?c hi?n s?p x?p) vÖ x? Hi?n Ninh, x? Thanh XuÉn, 1 ph?n x? Ph£ Minh, 1 ph?n x? Quang Ti?n, 1 ph?n x? Mai ?çnh. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00454,X? ?ìng Anh,,X?,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i lo?i hçnh, h?p nh?t c†c x? C? Loa, ?ìng H?i, Mai LÉm, 1 ph?n th? tr?n ?ìng Anh, 1 ph?n x? Liàn HÖ thu?c huy?n ?ìng Anh (tr??c khi th?c hi?n s?p x?p), 1 ph?n x? TÖm X†, 1 ph?n x? Tiàn D??ng, 1 ph?n x? V?nh Ng?c, 1 ph?n x? XuÉn Canh, 1 ph?n x? D?c T£, 1. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00466,X? Ph£c Th?nh,,X?,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? x? Nguyàn Khà thÖnh x? Ph£c Th?nh, h?p nh?t c†c x? B?c H?ng, Nam H?ng, VÉn N?i, 1 ph?n x? V?nh Ng?c, 1 ph?n x? Nguyàn Khà, 1 ph?n x? XuÉn N?n, 1 ph?n x? Tiàn D??ng, 1 ph?n th? tr?n ?ìng Anh . B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00475,X? Th? LÉm,,X?,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? x? VÉn HÖ thÖnh x? Th? LÉm, h?p nh?t x? Th?y LÉm, x? VÉn HÖ, 1 ph?n th? tr?n ?ìng Anh, 1 ph?n x? Liàn HÖ thu?c huy?n ?ìng Anh (tr??c khi th?c hi?n s?p x?p), 1 ph?n x? D?c T£, 1 ph?n x? Nguyàn Khà, 1 ph?n x? Uy N?, 1 ph?n x? Vi?t Hóng, 1 ph?n x?. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00493,X? Thiàn L?c,,X?,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? x? Kim Chung thÖnh x? Thiàn L?c, h?p nh?t x? V?ng La, 1 ph?n x? Kim Chung thu?c huy?n ?ìng Anh (tr??c khi th?c hi?n s?p x?p), 1 ph?n x? ??i M?ch, 1 ph?n x? Kim N?, 1 ph?n x? Ti?n Phong thu?c huy?n Mà Linh (tr??c khi th?c hi?n s?p x?p), 1 ph?n x. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00508,X? V?nh Thanh,,X?,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? x? H?i B?i thÖnh x? V?nh Thanh, h?p nh?t 1 ph?n x? TÖm X†, 1 ph?n x? XuÉn Canh, 1 ph?n x? V?nh Ng?c, 1 ph?n x? Kim Chung thu?c huy?n ?ìng Anh (tr??c khi th?c hi?n s?p x?p), 1 ph?n x? H?i B?i, 1 ph?n x? Kim N?. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00541,X? Phó ??ng,,X?,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? x? Thiàn ??c thÖnh x? Phó ??ng, h?p nh?t th? tr?n Yàn Viàn, c†c x? Ninh Hi?p, Phó ??ng, Thiàn ??c, Yàn Th??ng, Yàn Viàn, 1 ph?n x? C? Bi, 1 ph?n x? ??ng X†. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00562,X? Thu?n An,,X?,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? x? Ph£ S?n thÖnh x? Thu?n An, h?p nh?t x? D??ng Quang, x? L? Chi, 1 ph?n x? ??ng X†, 1 ph?n x? Ph£ S?n (huy?n Gia LÉm). B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00565,X? Gia LÉm,Trau Quy Commune,X?,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i lo?i hçnh, ??i tàn thÖnh x? Gia LÉm, h?p nh?t x? D??ng X†, x? Kiàu K?, 1 ph?n ph??ng Th?ch BÖn, 1 ph?n th? tr?n TrÉu Qu?, 1 ph?n x? Ph£ S?n thu?c huy?n Gia LÉm (tr??c khi th?c hi?n s?p x?p), 1 ph?n x? C? Bi, 1 ph?n x? ?a T?n, 1 ph?n x? B†t TrÖng. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00577,X? B†t TrÖng,,X?,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? x? ?a T?n thÖnh x? B†t TrÖng, h?p nh?t x? Kim ??c, 1 ph?n ph??ng C? Kh?i, 1 ph?n ph??ng Th?ch BÖn, 1 ph?n th? tr?n TrÉu Qu?, 1 ph?n x? ?a T?n, 1 ph?n x? B†t TrÖng. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00592,Ph??ng T? Liàm,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? ph??ng C?u Di?n thÖnh ph??ng T? Liàm, h?p nh?t ph??ng C?u Di?n, m?t ph?n di?n t°ch t? nhiàn, quy mì dÉn s? c?a ph??ng M? Trç, ph??ng Ph£ ?ì, 1 ph?n ph??ng Mai D?ch, 1 ph?n ph??ng M? ?çnh 1, 1 ph?n ph??ng M? ?çnh 2. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00598,Ph??ng Th??ng C†t,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? ph??ng Liàn M?c thÖnh ph??ng Th??ng C†t, h?p nh?t ph??ng Liàn M?c, ph??ng Th??ng C†t, 1 ph?n  ph??ng Minh Khai thu?c qu?n B?c T? Liàm (tr??c khi th?c hi?n s?p x?p), 1 ph?n ph??ng TÉy T?u, 1 ph?n ph??ng C? Nhu? 2, 1 ph?n ph??ng Th?y Ph??ng . B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00602,Ph??ng ?ìng Ng?c,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? ph??ng ??c Th?ng thÖnh ph??ng ?ìng Ng?c, h?p nh?t ph??ng ??c Th?ng, 1 ph?n ph??ng Minh Khai thu?c qu?n B?c T? Liàm (tr??c khi th?c hi?n s?p x?p), 1 ph?n ph??ng C? Nhu? 2, 1 ph?n ph??ng Th?y Ph??ng, p1 ph?n ph??ng ?ìng Ng?c, 1 ph?n ph??ng XuÉn ?. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00611,Ph??ng XuÉn ??nh,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? ph??ng XuÉn T?o thÖnh ph??ng XuÉn ??nh, h?p nh?t 1 ph?n ph??ng XuÉn ??nh, 1 ph?n ph??ng C? Nhu? 1, 1 ph?n ph??ng XuÉn La, 1ph?n ph??ng XuÉn T?o. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00613,Ph??ng TÉy T?u,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? ph??ng Minh Khai thÖnh ph??ng TÉy T?u, h?p nh?t 1 ph?n ph??ng Minh Khai, 1 ph?n ph??ng TÉy T?u, 1 ph?n x? Kim Chung. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00619,Ph??ng Ph£ Di?n,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t ph??ng Ph£ Di?n, 1 ph?n ph??ng C? Nhu? 1, 1 ph?n ph??ng Mai D?ch, 1 ph?n ph??ng Ph£c Di?n. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00622,Ph??ng XuÉn Ph??ng ,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"H?p nh?t ph??ng Ph??ng Canh, ph??ng XuÉn Ph??ng, 1 ph?n ph??ng ??i M?, 1 ph?n ph??ng TÉy M?, 1 ph?n x? VÉn Canh, 1 ph?n ph??ng Minh Khai thu?c qu?n B?c T? Liàm (tr??c khi th?c hi?n s?p x?p), 1 ph?n ph??ng Ph£c Di?n. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
00634,Ph??ng TÉy M?,,Ph??ng,S?: 1656/NQ-UBTVQH15; NgÖy: 16/06/2025,"??i tàn t? ph??ng ??i M? thÖnh ph??ng TÉy M?, h?p nh?t 1 ph?n ph??ng ??i M?, 1 ph?n ph??ng D??ng N?i, 1 ph?n x? An Kh†nh, 1 ph?n ph??ng TÉy M?. B? c?p huy?n",01,ThÖnh ph? HÖ N?i
