Mã,Tên,Tên Ti?ng Anh,C?p,Ngh? ??nh,Ghi chú
46,Thành ph? Hu?,,Thành ph? Trung ??ng,202/2025/QH15 - 12/06/2025                    ,"Thành l?p thành ph? Hu? là thành ph? tr?c thu?c trung ??ng trên c? s? toàn b? di?n tích t? nhiên là 4.947,11 km2 và quy mô dân s? là 1.236.393 ng??i c?a t?nh Th?a Thiên Hu?.. Gi? nguyên, không s?p x?p"
48,Thành ph? ?à N?ng,,Thành ph? Trung ??ng,202/2025/QH15 - 12/06/2025                    ,"S?p x?p toàn b? di?n tích t? nhiên, quy mô dân s? c?a thành ph? ?à N?ng và t?nh Qu?ng Nam thành thành ph? m?i có tên g?i là thành ph? ?à N?ng"
51,T?nh Qu?ng Ngãi,,T?nh,202/2025/QH15 - 12/06/2025                    ,"S??p xê?p toa?n bô? diê?n ti?ch t?? nhiên, quy mô dân sô? cu?a ti?nh Kon Tum va? ti?nh Qua?ng Nga?i thành t?nh m?i có tên g?i là t?nh Qu?ng Ngãi"
52,T?nh Gia Lai,,T?nh,,"S??p xê?p toa?n bô? diê?n ti?ch t?? nhiên, quy mô dân sô? cu?a ti?nh Bi?nh ?i?nh va? ti?nh Gia Lai thành t?nh m?i có tên g?i là t?nh Gia Lai"
56,T?nh Khánh Hòa,,T?nh,202/2025/QH15 - 12/06/2025                    ,"S??p xê?p toa?n bô? diê?n ti?ch t?? nhiên, quy mô dân sô? cu?a ti?nh Ninh Thuâ?n va? ti?nh Kha?nh Hòa thành t?nh m?i có tên g?i là t?nh Khánh Hòa"
66,T?nh ??k L?k,,T?nh,202/2025/QH15 - 12/06/2025                    ,"S??p xê?p toa?n bô? diê?n ti?ch t?? nhiên, quy mô dân sô? cu?a t?nh Phú Yên va? ti?nh ??k L?k thành t?nh m?i có tên g?i là t?nh ??k L?k"
68,T?nh Lâm ??ng,,T?nh,202/2025/QH15 - 12/06/2025                    ,"S??p xê?p toa?n bô? diê?n ti?ch t?? nhiên, quy mô dân sô? cu?a ti?nh ??k Nông, ti?nh Bình Thu?n va? ti?nh Lâm ??ng thành t?nh m?i có tên g?i là t?nh Lâm ??ng"
75,T?nh ??ng Nai,,T?nh,202/2025/QH15 - 12/06/2025                    ,"S??p xê?p toa?n bô? diê?n ti?ch t?? nhiên, quy mô dân sô? cu?a ti?nh Bi?nh Ph???c va? ti?nh ?ô?ng Nai thành t?nh m?i có tên g?i là t?nh ??ng Nai"
79,Thành ph? H? Chí Minh,,Thành ph? Trung ??ng,202/2025/QH15 - 12/06/2025                    ,"S??p xê?p toa?n bô? diê?n ti?ch t?? nhiên, quy mô dân sô? cu?a Thành ph? H? Chí Minh, ti?nh Bà R?a - V?ng Tàu và ti?nh Bình D??ng thành thành ph? m?i có tên g?i là Thành ph? H? Chí Minh"
80,T?nh Tây Ninh,,T?nh,,"S??p xê?p toa?n bô? diê?n ti?ch t?? nhiên, quy mô dân sô? cu?a ti?nh Long An va? ti?nh Tây Ninh thành t?nh m?i có tên g?i là t?nh Tây Ninh"
82,T?nh ??ng Tháp,,T?nh,,"S??p xê?p toa?n bô? diê?n ti?ch t?? nhiên, quy mô dân sô? cu?a ti?nh Tiê?n Giang va? ti?nh ?ô?ng Tha?p thành t?nh m?i có tên g?i là t?nh ??ng Tháp"
86,T?nh V?nh Long,,T?nh,202/2025/QH15 - 12/06/2025                    ,"S??p xê?p toa?n bô? diê?n ti?ch t?? nhiên, quy mô dân sô? cu?a t?nh B?n Tre, ti?nh Trà Vinh va?ti?nh V?nh Long thành t?nh m?i có tên g?i là t?nh V?nh Long"
91,T?nh An Giang,,T?nh,,"S??p xê?p toa?n bô? diê?n ti?ch t?? nhiên, quy mô dân sô? cu?a ti?nh Kiên Giang va? ti?nh An Giang thành t?nh m?i có tên g?i là t?nh An Giang"
92,Thành ph? C?n Th?,,Thành ph? Trung ??ng,202/2025/QH15 - 12/06/2025                    ,"S??p xê?p toa?n bô? diê?n ti?ch t?? nhiên, quy mô dân sô? cu?a tha?nh phô? Câ?n Th?, t?nh Sóc Tr?ng và t?nh H?u Giang thành thành ph? m?i có tên g?i là thành ph? C?n Th?"
96,T?nh Cà Mau,,T?nh,202/2025/QH15 - 12/06/2025                    ,"S??p xê?p toa?n bô? diê?n ti?ch t?? nhiên, quy mô dân sô? cu?a ti?nh Ba?c Liêu va? ti?nh Ca? Mau thành t?nh m?i có tên g?i là t?nh Cà Mau"
,S? l??ng : 34,,,,

